code,marque,cylindree,carburant,annees
M48.50,Porsche,4.5 V8,Essence,2002-2007
M48.00,Porsche,4.5 V8,Essence,2002-2006
MA1.01,Porsche,3.4 Flat-6,Essence,2009-2015
MA1.02,Porsche,3.8 Flat-6,Essence,2009-2015
M96.01,Porsche,3.4 Flat-6,Essence,1998-2001
M97.21,Porsche,3.8 Flat-6,Essence,2005-2008
B58,BMW,3.0 6c,Essence,2015-2023
B48,BMW,2.0 4c,Essence,2015-2023
B38,BMW,1.5 3c,Essence,2014-2023
N55,BMW,3.0 6c,Essence,2009-2016
N54,BMW,3.0 6c,Essence,2006-2010
N52,BMW,3.0 6c,Essence,2004-2015
N20,BMW,2.0 4c,Essence,2011-2017
N47,BMW,2.0 4c,Diesel,2007-2014
B47,BMW,2.0 4c,Diesel,2014-2023
M57,BMW,3.0 6c,Diesel,1998-2013
M57TUD30,BMW,3.0 6c,Diesel,2002-2010
S55,BMW,3.0 6c,Essence,2014-2020
S58,BMW,3.0 6c,Essence,2019-2025
N62,BMW,4.4 V8,Essence,2001-2010
S65,BMW,4.0 V8,Essence,2007-2013
OM642,Mercedes,3.0 V6,Diesel,2005-2020
OM651,Mercedes,2.1 4c,Diesel,2008-2018
OM646,Mercedes,2.2 4c,Diesel,2002-2010
OM656,Mercedes,3.0 6c,Diesel,2016-2025
M270,Mercedes,1.6 4c,Essence,2012-2018
M274,Mercedes,2.0 4c,Essence,2012-2018
M276,Mercedes,3.5 V6,Essence,2011-2020
M278,Mercedes,4.7 V8,Essence,2010-2017
M272,Mercedes,3.0 V6,Essence,2004-2011
M112,Mercedes,3.2 V6,Essence,1998-2006
M113,Mercedes,5.0 V8,Essence,1997-2006
ALH,Volkswagen,1.9 TDI,Diesel,1998-2003
ASZ,Volkswagen,1.9 TDI,Diesel,2001-2006
BKD,Volkswagen,2.0 TDI,Diesel,2003-2008
BMM,Volkswagen,2.0 TDI,Diesel,2005-2010
AZV,Volkswagen,2.0 TDI,Diesel,2003-2008
CAXA,Volkswagen,1.4 TSI,Essence,2007-2015
CZDA,Volkswagen,1.4 TSI,Essence,2014-2018
CHHB,Volkswagen,2.0 TSI,Essence,2013-2018
CFGB,Audi,2.0 TDI,Diesel,2008-2014
CGLC,Audi,3.0 TDI V6,Diesel,2011-2015
CAGA,Audi,2.0 TDI,Diesel,2007-2015
CUAA,Audi,2.0 TFSI,Essence,2012-2016
EA113,Audi,2.0 TFSI,Essence,2004-2009
K9K,Renault,1.5 dCi,Diesel,2001-2020
R9M,Renault,1.6 dCi,Diesel,2011-2018
M9R,Renault,2.0 dCi,Diesel,2006-2015
F4R,Renault,2.0 4c,Essence,1998-2013
K4M,Renault,1.6 4c,Essence,1995-2012
K7M,Renault,1.6 4c,Essence,1995-2013
H5F,Renault,1.2 TCe,Essence,2012-2019
H4B,Renault,0.9 TCe,Essence,2012-2019
M5P,Renault,1.3 TCe,Essence,2018-2025
EB2,Peugeot,1.2 PureTech,Essence,2013-2022
EB2ADTX,Peugeot,1.2 PureTech 130,Essence,2018-2025
EP6,Peugeot,1.6 THP,Essence,2006-2015
EP6CDT,Peugeot,1.6 THP,Essence,2007-2015
EP6FDT,Peugeot,1.6 THP,Essence,2010-2018
DV6,Peugeot,1.6 HDi,Diesel,2004-2016
DW10,Peugeot,2.0 HDi,Diesel,1999-2015
DT17,Peugeot,2.7 HDi V6,Diesel,2004-2010
2ZR-FE,Toyota,1.8 4c,Essence,2007-2020
2AZ-FE,Toyota,2.4 4c,Essence,2000-2009
1NZ-FE,Toyota,1.5 4c,Essence,1999-2016
1NR-FE,Toyota,1.33 4c,Essence,2008-2016
1KD-FTV,Toyota,3.0 4c,Diesel,2000-2015
2KD-FTV,Toyota,2.5 4c,Diesel,2000-2015
1GR-FE,Toyota,4.0 V6,Essence,2002-2020
2GR-FE,Toyota,3.5 V6,Essence,2005-2020
QR20DE,Nissan,2.0 4c,Essence,2000-2012
QR25DE,Nissan,2.5 4c,Essence,2001-2018
MR20DE,Nissan,2.0 4c,Essence,2004-2020
HR16DE,Nissan,1.6 4c,Essence,2004-2020
YD25DDTi,Nissan,2.5 4c,Diesel,2004-2015
R18A,Honda,1.8 4c,Essence,2005-2012
K20A,Honda,2.0 4c,Essence,2001-2011
K24A,Honda,2.4 4c,Essence,2002-2014
L15B,Honda,1.5 4c,Essence,2015-2025
N22A,Honda,2.2 4c,Diesel,2003-2010
LF-DE,Mazda,2.0 4c,Essence,2002-2012
L3-VE,Mazda,2.3 4c,Essence,2002-2013
P5-VPS,Mazda,1.5 4c,Essence,2013-2020
SH-VPTS,Mazda,2.2 4c,Diesel,2012-2020
EJ20,Subaru,2.0 4c,Essence,1989-2014
EJ25,Subaru,2.5 4c,Essence,1996-2012
FB20,Subaru,2.0 4c,Essence,2010-2020
FA20,Subaru,2.0 4c,Essence,2012-2020
4G63,Mitsubishi,2.0 4c,Essence,1981-2006
4B11,Mitsubishi,2.0 4c,Essence,2006-2017
4N14,Mitsubishi,1.8 4c,Diesel,2010-2016
G4FA,Hyundai,1.4 4c,Essence,2008-2015
G4FC,Hyundai,1.6 4c,Essence,2006-2013
G4KD,Hyundai,2.0 4c,Essence,2008-2013
D4EA,Hyundai,2.0 4c,Diesel,2001-2010
D4HB,Hyundai,2.2 4c,Diesel,2009-2018
Z16XEP,Opel,1.6 4c,Essence,2004-2010
Z18XER,Opel,1.8 4c,Essence,2004-2011
A16LET,Opel,1.6 Turbo,Essence,2008-2013
B16DTH,Opel,1.6 CDTi,Diesel,2013-2018
X20DTL,Opel,2.0 DTI,Diesel,1997-2000
939A2000,Alfa Romeo,2.0 JTDm,Diesel,2010-2015
55268650,Alfa Romeo,1.75 TBi,Essence,2009-2015
199A3000,Fiat,1.4 16v,Essence,2005-2013
188A4000,Fiat,1.2 8v,Essence,1999-2010
55273873,Fiat,1.4 MultiAir,Essence,2010-2018
B5254T,Volvo,2.5 5c,Essence,2003-2010
D5244T,Volvo,2.4 5c,Diesel,2001-2010
N14,Mini,1.6 Turbo,Essence,2006-2010
N18,Mini,1.6 Turbo,Essence,2010-2016
B38A15A,Mini,1.5 3c,Essence,2014-2023
CJZA,Skoda,1.2 TSI,Essence,2012-2015
CJZC,Skoda,1.0 TSI,Essence,2015-2020
CLHA,Seat,1.6 TDI,Diesel,2012-2015
CUUB,Seat,1.4 TSI,Essence,2013-2016
DT20C,Peugeot,2.0 BlueHDi,Diesel,2013-2020
DV5,Peugeot,1.5 BlueHDi,Diesel,2017-2025
M274.920,Mercedes,2.0 4c,Essence,2013-2018
M256,Mercedes,3.0 6c,Essence,2017-2025
OM654,Mercedes,2.0 4c,Diesel,2016-2025
N57,BMW,3.0 6c,Diesel,2008-2018
B57,BMW,3.0 6c,Diesel,2015-2025
EA288,Audi,2.0 TDI,Diesel,2012-2020
DAUA,Audi,1.5 TFSI,Essence,2018-2025
CDLA,Audi,2.0 TFSI,Essence,2009-2014
CDUC,Audi,3.0 TDI V6,Diesel,2009-2014
1UR-FE,Toyota,4.6 V8,Essence,2006-2020
3ZR-FAE,Toyota,2.0 4c,Essence,2007-2018
B4204T,Volvo,2.0 4c,Essence,2013-2020
D4204T,Volvo,2.0 4c,Diesel,2013-2020
R9N,Renault,1.7 Blue dCi,Diesel,2018-2025
H5Ft,Renault,1.2 TCe,Essence,2012-2019
F9Q,Renault,1.9 dCi,Diesel,1999-2009
DTFTH,Peugeot,2.2 HDi,Diesel,2001-2010
G4NA,Hyundai,2.0 4c,Essence,2011-2019
G4NC,Hyundai,2.0 4c,Essence,2013-2019
4D56,Mitsubishi,2.5 4c,Diesel,1986-2006
4M41,Mitsubishi,3.2 4c,Diesel,1999-2015
K24W,Honda,2.4 4c,Essence,2012-2016
R20A,Honda,2.0 4c,Essence,2006-2016
MR16DDT,Nissan,1.6 Turbo,Essence,2010-2018
VK45DE,Nissan,4.5 V8,Essence,2001-2010
Z12XEP,Opel,1.2 4c,Essence,2003-2010
Z19DTH,Opel,1.9 CDTi,Diesel,2004-2011
A14NEL,Opel,1.4 Turbo,Essence,2010-2014
M20A-FKS,Toyota,2.0 4c,Essence,2018-2025
A25A-FKS,Toyota,2.5 4c,Essence,2017-2025
A25A-FXS,Toyota,2.5 4c,Essence,2016-2025
